question,option_a,option_b,option_c,option_d,correct_answer,category,difficulty,source
Who was the first woman to run for president in Nigeria?,Sarah Jubril,Ngozi Okonjo-Iweala,Oby Ezekwesili,Remi Sonaiya,A,politics,hard,General Knowledge
The EFCC (Economic and Financial Crimes Commission) was established in which year?,2004,2000,2002,2006,A,politics,hard,General Knowledge
Who was the first chairman of the EFCC?,Nuhu Ribadu,Farida Waziri,Ibrahim Lamorde,Magu,A,politics,hard,General Knowledge
Nigeria's zoning system informally divides the presidency between how many geopolitical zones?,6,4,2,3,A,politics,hard,General Knowledge
What is Nigeria's national football team commonly known as?,Super Eagles,Green Eagles,Nigerian Lions,Desert Eagles,A,sports,easy,General Knowledge
In which year did Nigeria win the Olympic gold medal in football?,1996,2000,1992,2004,A,sports,easy,General Knowledge
Which Nigerian footballer played for Arsenal and is known as the 'Jay-Jay'?,Jay-Jay Okafor,Nwankwo Kanu,Celestine Babayaro,Sunday Oliseh,A,sports,easy,General Knowledge
What is the nickname of the Nigeria women's national football team?,Super Falcons,Green Falcons,Golden Falcons,Flying Falcons,A,sports,easy,General Knowledge
Nwankwo Kanu played club football for which English Premier League club?,Arsenal,Chelsea,Manchester United,Liverpool,A,sports,easy,General Knowledge
Which Nigerian sprinter won a silver medal at the 2008 Beijing Olympics?,Deji Aliu,Olusoji Fasuba,Francis Obikwelu,Samuel Francis,A,sports,easy,General Knowledge
In which sport did Nigeria's Chioma Ajunwa win Olympic gold in 1996?,Long jump,100 metres,400 metres,Triple jump,A,sports,easy,General Knowledge
Which Nigerian footballer was known as 'The Eagle of the Niger'?,Rashidi Yekini,Segun Odegbami,Peter Fregene,Teslim Balogun,A,sports,easy,General Knowledge
Nigeria has won the Africa Cup of Nations (AFCON) how many times?,3,4,2,5,A,sports,easy,General Knowledge
Which year did Nigeria first qualify for the FIFA World Cup?,1994,1990,1998,2002,A,sports,easy,General Knowledge
Which Nigerian footballer won the FIFA World Youth Championship (now U-20 World Cup) in 1985 and 1993?,Nigeria won both,Nigeria only won 1985,Nigeria only won 1993,Nigeria won neither,C,sports,medium,General Knowledge
"At the 1994 World Cup, Nigeria was knocked out by which country in the Round of 16?",Italy,Brazil,Argentina,Spain,A,sports,medium,General Knowledge
Which Nigerian boxer won a WBC world title in 1994?,Bash Ali,Dick Tiger,Hogan Bassey,Samuel Peter,A,sports,medium,General Knowledge
Victor Moses played international football for Nigeria but was born in which country?,England,Ghana,Ivory Coast,South Africa,A,sports,medium,General Knowledge
Which Nigerian club has won the most Nigerian Premier League titles?,Enyimba,Rangers International,Julius Berger,IICC Shooting Stars,A,sports,medium,General Knowledge
John Obi Mikel spent most of his club career at which English club?,Chelsea,Arsenal,Manchester City,Tottenham,A,sports,medium,General Knowledge
Which Nigerian athlete set a world record in the 100m at a young age and was nicknamed 'The Fastest Kid in the World'?,Olusoji Fasuba,Deji Aliu,Endurance Ojokolo,Seye Ogunlewe,C,sports,medium,General Knowledge
Nigerian boxer Dick Tiger was world champion in which two weight classes?,Middleweight and Light-heavyweight,Heavyweight and Middleweight,Welterweight and Middleweight,Light-heavyweight and Heavyweight,A,sports,medium,General Knowledge
Nigeria's Onyekachi Apam played in which top European league?,French Ligue 1,Spanish La Liga,Italian Serie A,German Bundesliga,A,sports,medium,General Knowledge
The Stephen Keshi Stadium is located in which Nigerian city?,Asaba,Benin City,Warri,Sapele,A,sports,medium,General Knowledge
Which Nigerian won the AFCON Golden Boot in 2013?,Emmanuel Emenike,Sunday Mba,Victor Moses,Elderson Echiejile,A,sports,hard,General Knowledge
Nigeria's first ever World Cup goal was scored by which player in 1994?,Samson Siasia,Rashidi Yekini,Daniel Amokachi,Sunday Oliseh,B,sports,hard,General Knowledge
Which Nigerian stadium hosted the 1980 Africa Cup of Nations final?,National Stadium Lagos,Surulere Stadium,Abuja National Stadium,Nnamdi Azikiwe Stadium,A,sports,hard,General Knowledge
Nigeria hosted the Africa Cup of Nations in which year?,1980,1976,1990,2000,A,sports,hard,General Knowledge
The Teslim Balogun Stadium is located in which Nigerian state?,Lagos,Ogun,Oyo,Ekiti,A,sports,hard,General Knowledge
Which Nigerian football club won the CAF Champions League in 2003 and 2004?,Enyimba,Julius Berger,Shooting Stars,Rangers,A,sports,hard,General Knowledge
Who was Nigeria's coach during the 1996 Olympic gold medal victory?,Jo Bonfrere,Clemens Westerhof,Phillipe Troussier,Christian Chukwu,A,sports,hard,General Knowledge
"Hogan Bassey, Nigeria's first world boxing champion, won the world title in which weight class?",Featherweight,Lightweight,Bantamweight,Super featherweight,A,sports,hard,General Knowledge
Which Nigerian won the Commonwealth Games gold in boxing at the 1954 edition?,Hogan Bassey,Dick Tiger,Bash Ali,Peter Konyegwachie,A,sports,hard,General Knowledge
Nigeria's first participation at the Olympics was in which year?,1952,1956,1948,1960,A,sports,hard,General Knowledge
What is Nigeria's most widely spoken indigenous language?,Hausa,Yoruba,Igbo,Efik,A,culture,easy,General Knowledge
What is the traditional Yoruba festival that celebrates the Osun goddess?,Osun-Osogbo Festival,Eyo Festival,Gelede Festival,Ojude Oba Festival,A,culture,easy,General Knowledge
Nollywood refers to Nigeria's what?,Film industry,Music industry,Fashion industry,Theatre industry,A,culture,easy,General Knowledge
Which Nigerian author wrote 'Things Fall Apart'?,Chinua Achebe,Wole Soyinka,Ben Okri,Chimamanda Ngozi Adichie,A,culture,easy,General Knowledge
Who was the first African to win the Nobel Prize for Literature?,Wole Soyinka,Chinua Achebe,Ngugi wa Thiong'o,J.M. Coetzee,A,culture,easy,General Knowledge
What is the traditional attire worn by Nigerian men made of woven fabric called?,Aso-oke,Ankara,Kaftan,Buba,A,culture,easy,General Knowledge
What is the name of the popular Nigerian street food made from plantain?,Boli,Puff puff,Akara,Suya,A,culture,easy,General Knowledge
Suya is a popular Nigerian dish made from what?,Spiced grilled meat,Fried yam,Bean fritters,Grilled fish,A,culture,easy,General Knowledge
What is 'jollof rice' in Nigerian cuisine?,Rice cooked in tomato stew,Fried rice,White rice with beans,Rice cooked in coconut milk,A,culture,easy,General Knowledge
The 'Afrobeats' music genre is most associated with which Nigerian city?,Lagos,Abuja,Kano,Port Harcourt,A,culture,easy,General Knowledge
Who is considered the pioneer of Afrobeats music?,Fela Kuti,Sunny Ade,Ebenezer Obey,Onyeka Onwenu,A,culture,medium,General Knowledge
The Benin Bronzes are a collection of artworks that were looted by the British in which year?,1897,1900,1885,1912,A,culture,medium,General Knowledge
Chimamanda Ngozi Adichie wrote which famous novel that was later adapted into a film?,Purple Hibiscus,Half of a Yellow Sun,Americanah,We Should All Be Feminists,B,culture,medium,General Knowledge
The Eyo festival is traditionally celebrated in which Nigerian city?,Lagos,Ibadan,Abeokuta,Ife,A,culture,medium,General Knowledge
What is the name of the masquerade festival celebrated by the Igbo people during the new yam festival?,Mmanwu,Egungun,Oro,Agemo,A,culture,medium,General Knowledge
The Argungu Fishing Festival is held in which Nigerian state?,Kebbi,Sokoto,Kano,Niger,A,culture,medium,General Knowledge
Which Nigerian musician is known as the 'King of Afrobeats'?,Wizkid,Davido,Burna Boy,Tiwa Savage,A,culture,medium,General Knowledge
What is the Yoruba word for masquerade?,Egungun,Mmanwu,Oro,Gelede,A,culture,medium,General Knowledge
"Nollywood is ranked as the world's largest film industry by volume of output, second only to which country?",India,United States,China,South Korea,A,culture,medium,General Knowledge
The Osun-Osogbo UNESCO World Heritage grove is located in which Nigerian state?,Osun,Oyo,Ondo,Ekiti,A,culture,medium,General Knowledge
Chinua Achebe's 'Things Fall Apart' was first published in which year?,1958,1960,1955,1962,A,culture,hard,General Knowledge
What is the name of the lead character in 'Things Fall Apart'?,Okonkwo,Unoka,Obierika,Nwoye,A,culture,hard,General Knowledge
The Ife bronze heads depicting Yoruba rulers date back to approximately which period?,12th-14th century,8th-10th century,16th-18th century,6th-8th century,A,culture,hard,General Knowledge
Which Nigerian literary magazine published many of Africa's early writers including Achebe and Soyinka?,Black Orpheus,Ibadan,Transition,Okike,A,culture,hard,General Knowledge
Wole Soyinka won the Nobel Prize for Literature in which year?,1986,1983,1990,1979,A,culture,hard,General Knowledge
The traditional Benin Kingdom bronzes used which technique to create their sculptures?,Lost-wax casting,Hammering,Mold casting,Stamping,A,culture,hard,General Knowledge
Which Nigerian musician is known for the album 'African Giant'?,Burna Boy,Wizkid,Davido,Adekunle Gold,A,culture,hard,General Knowledge
The Talking Drum (dundun) is most associated with which Nigerian ethnic group?,Yoruba,Hausa,Igbo,Efik,A,culture,hard,General Knowledge
Ben Okri won the Booker Prize in 1991 for which novel?,The Famished Road,Songs of Enchantment,Infinite Riches,Stars of the New Curfew,A,culture,hard,General Knowledge
The Zaria Art School movement in the 1950s was founded by artists including which famous Nigerian painter?,Uche Okeke,Bruce Onobrakpeya,Yusuf Grillo,El Anatsui,A,culture,hard,General Knowledge
What is the highest court in Nigeria?,Supreme Court,Court of Appeal,Federal High Court,High Court,A,government,easy,General Knowledge
What are Nigeria's six geopolitical zones?,"North Central, North East, North West, South East, South South, South West","North, South, East, West, Central, Coastal","Northern, Southern, Eastern, Western, Midwestern, Coastal",None of the above,A,government,easy,General Knowledge
The Nigerian Senate consists of how many members?,109,120,100,90,A,government,easy,General Knowledge
Who appoints the Chief Justice of Nigeria?,President on recommendation of NJC,National Assembly,State Governors collectively,Attorney General,A,government,easy,General Knowledge
What does NNPC stand for?,Nigerian National Petroleum Corporation,National Nigerian Petroleum Company,Nigeria National Petroleum Council,Nigerian Natural Petroleum Corporation,A,government,easy,General Knowledge
Nigeria's Federal Executive Council is chaired by who?,President,Vice President,Senate President,Speaker of House,A,government,easy,General Knowledge
How many years is a term for a Nigerian President?,4,5,6,3,A,government,easy,General Knowledge
What is the minimum age to contest for the Nigerian Senate?,35,30,40,25,A,government,easy,General Knowledge
The Nigerian constitution guarantees freedom of the press under which type of rights?,Fundamental rights,Civil rights,Political rights,Social rights,A,government,easy,General Knowledge
Nigeria's National Assembly is made up of which two chambers?,Senate and House of Representatives,Senate and Congress,House of Assembly and Senate,Council and Assembly,A,government,easy,General Knowledge
The Nigerian Police Force is under the command of who?,Inspector General of Police,Commissioner of Police,Minister of Police Affairs,President,A,government,medium,General Knowledge
State Houses of Assembly in Nigeria have a minimum of how many members?,24,30,20,36,A,government,medium,General Knowledge
Which body is responsible for revenue sharing among tiers of government in Nigeria?,Revenue Mobilisation Allocation and Fiscal Commission,Federal Inland Revenue Service,National Economic Council,Finance Ministry,A,government,medium,General Knowledge
The Code of Conduct Bureau in Nigeria investigates what?,Conduct of public officials,Electoral offences,Financial crimes,Press freedom violations,A,government,medium,General Knowledge
Nigeria's FRSC stands for what?,Federal Road Safety Corps,Federal Revenue Service Commission,Federal Republic Safety Corps,Federal Road Safety Commission,A,government,medium,General Knowledge
The Nigeria Customs Service is under which ministry?,Ministry of Finance,Ministry of Trade,Ministry of Interior,Ministry of Transportation,A,government,medium,General Knowledge
Which constitutional provision establishes the principle of federal character in Nigeria?,Section 14(3),Section 10,Section 40,Section 22,A,government,medium,General Knowledge
"The Nigerian Army, Navy, and Air Force are collectively called what?",Armed Forces of Nigeria,Nigerian Military Forces,National Defence Forces,Federal Armed Forces,A,government,medium,General Knowledge
AMCON in Nigeria stands for what?,Asset Management Corporation of Nigeria,Asset and Money Corporation of Nigeria,African Management Corporation Nigeria,Asset Mobilisation Corporation of Nigeria,A,government,medium,General Knowledge
The Nigerian Sovereign Investment Authority was established in which year?,2011,2007,2013,2015,A,government,medium,General Knowledge
The Fiscal Responsibility Act in Nigeria was passed in which year?,2007,2004,2010,2012,A,government,hard,General Knowledge
Which Nigerian government agency is responsible for enforcing food and drug standards?,NAFDAC,SON,NCC,NESREA,A,government,hard,General Knowledge
The Economic and Financial Crimes Commission (EFCC) Act was signed into law by which president?,Olusegun Obasanjo,Umaru Yar'Adua,Goodluck Jonathan,Muhammadu Buhari,A,government,hard,General Knowledge
What is the quorum required to pass a constitutional amendment in Nigeria's National Assembly?,Two-thirds majority,Simple majority,Three-quarters majority,Unanimous vote,A,government,hard,General Knowledge
The Nigerian Law Reform Commission operates under which ministry?,Ministry of Justice,Ministry of Interior,Ministry of Information,Office of the Attorney General,A,government,hard,General Knowledge
Which body in Nigeria is responsible for conducting population census?,National Population Commission,National Bureau of Statistics,Federal Character Commission,INEC,A,government,hard,General Knowledge
The Federal Character Commission was established by which decree?,Decree 34 of 1996,Decree 20 of 1990,Decree 5 of 1999,Decree 12 of 1995,A,government,hard,General Knowledge
The Nigerian Communications Commission regulates which sector?,Telecommunications,Broadcasting only,Print media,Internet only,A,government,hard,General Knowledge
How many justices make up the Federal Court of Appeal in Nigeria?,At least 49,Exactly 36,At least 21,Exactly 60,A,government,hard,General Knowledge
The Corrupt Practices and Other Related Offences Act established which anti-corruption agency?,ICPC,EFCC,CCB,DSS,A,government,hard,General Knowledge
What is Nigeria's largest city by population?,Lagos,Kano,Ibadan,Abuja,A,current_affairs,easy,General Knowledge
Nigeria is the most populous country in which continent?,Africa,Asia,South America,Europe,A,current_affairs,easy,General Knowledge
What is the approximate population of Nigeria as of 2023?,220 million,150 million,180 million,300 million,A,current_affairs,easy,General Knowledge
Nigeria is the largest producer of what resource in Africa?,Oil,Gold,Diamonds,Cocoa,A,current_affairs,easy,General Knowledge
Which Nigerian musician won a Grammy Award in 2021?,Burna Boy,Wizkid,Davido,Tiwa Savage,A,current_affairs,easy,General Knowledge
The Dangote Refinery is located in which Nigerian state?,Lagos,Rivers,Delta,Bayelsa,A,current_affairs,easy,General Knowledge
Who is Aliko Dangote?,Nigeria's richest person and business mogul,A Nigerian politician,A Nigerian footballer,A Nigerian musician,A,current_affairs,easy,General Knowledge
What is Nigeria's main export commodity?,Crude oil,Cocoa,Tin,Rubber,A,current_affairs,easy,General Knowledge
The Boko Haram insurgency is primarily located in which region of Nigeria?,Northeast,Northwest,Southeast,Southwest,A,current_affairs,easy,General Knowledge
Which Nigerian state is known as the 'Oil Rivers' region historically?,Rivers,Delta,Bayelsa,Akwa Ibom,A,current_affairs,easy,General Knowledge
The #EndSARS protest in Nigeria in 2020 was against what?,Police brutality,Fuel subsidy removal,Unemployment,Poor electricity supply,A,current_affairs,medium,General Knowledge
SARS in the #EndSARS movement stood for what?,Special Anti-Robbery Squad,Special Armed Response Squad,State Anti-Robbery Squad,Security and Robbery Squad,A,current_affairs,medium,General Knowledge
The Lekki toll gate shooting during the #EndSARS protests occurred on what date?,"October 20, 2020","October 15, 2020","November 5, 2020","October 20, 2019",A,current_affairs,medium,General Knowledge
Nigeria's naira was devalued significantly in which recent year?,2023,2021,2022,2020,A,current_affairs,medium,General Knowledge
"The Dangote Refinery, when operational, is expected to have a capacity of how many barrels per day?","650,000","400,000","500,000","1,000,000",A,current_affairs,medium,General Knowledge
Which Nigerian tech company became Africa's first unicorn startup?,Interswitch,Flutterwave,Paystack,Andela,A,current_affairs,medium,General Knowledge
"Paystack, a Nigerian payment company, was acquired by which global company?",Stripe,Visa,Mastercard,PayPal,A,current_affairs,medium,General Knowledge
Nigeria removed the fuel subsidy in which year?,2023,2022,2021,2020,A,current_affairs,medium,General Knowledge
Which Nigerian city hosted the 2023 World Afrobeats Awards?,Lagos,London,Abuja,New York,A,current_affairs,medium,General Knowledge
The Abuja-Kaduna railway was inaugurated in which year?,2016,2018,2014,2020,A,current_affairs,medium,General Knowledge
The Nigeria-specific instrument used for the collection of Value Added Tax is administered by which agency?,Federal Inland Revenue Service,Nigeria Customs Service,Revenue Mobilisation Commission,Central Bank of Nigeria,A,current_affairs,hard,General Knowledge
What percentage is Nigeria's VAT rate as of 2023?,7.5%,5%,10%,15%,A,current_affairs,hard,General Knowledge
The Nigerian Electricity Regulatory Commission (NERC) regulates the power sector under which legislation?,Electric Power Sector Reform Act 2005,Energy Act 2010,Power Reform Decree 1999,National Power Act 2001,A,current_affairs,hard,General Knowledge
Flutterwave was founded in which year?,2016,2014,2018,2012,A,current_affairs,hard,General Knowledge
Nigeria's inflation rate peaked at approximately what level in early 2024?,30%,18%,22%,40%,A,current_affairs,hard,General Knowledge
The Tinubu administration's first policy on its inauguration day in 2023 was to end what?,Fuel subsidy,Dollar control,Multiple exchange rates,Import restrictions,A,current_affairs,hard,General Knowledge
Which Nigerian state has the highest internally generated revenue?,Lagos,Rivers,Delta,Kano,A,current_affairs,hard,General Knowledge
The Nigerian tech hub 'Yaba' in Lagos is sometimes called the Silicon Valley of Africa. Which company did NOT originate there?,MTN,Andela,Hotels.ng,Flutterwave,A,current_affairs,hard,General Knowledge
Nigeria's Central Bank introduced the eNaira digital currency in which year?,2021,2020,2022,2023,A,current_affairs,hard,General Knowledge
The Abuja metro light rail system was officially commissioned in which year?,2018,2015,2020,2016,A,current_affairs,hard,General Knowledge
The 'Indirect Rule' system in Nigeria was pioneered by which British administrator?,Lord Lugard,Walter Egerton,James Robertson,Hugh Clifford,A,history,medium,General Knowledge
The Pan African Congress that influenced Nigerian nationalism was held for the first time in which year?,1900,1919,1895,1907,A,history,hard,General Knowledge
Which Nigerian was the first to practice law in Nigeria?,Christopher Alexander Sapara Williams,Herbert Macaulay,Nnamdi Azikiwe,Obafemi Awolowo,A,history,hard,General Knowledge
The Igbo-Ukwu bronzes were discovered in which decade?,1930s,1950s,1940s,1960s,A,history,hard,General Knowledge
Oduduwa is regarded as the ancestral figure of which Nigerian ethnic group?,Yoruba,Igbo,Hausa,Efik,A,history,easy,General Knowledge
The city of Ile-Ife is considered sacred in which Nigerian culture?,Yoruba,Igbo,Hausa,Benin,A,history,medium,General Knowledge
Nigeria's National Anthem 'Arise O Compatriots' was adopted in which year?,1978,1960,1963,1975,A,history,medium,General Knowledge
The Nigerian coat of arms features which two animals as supporters?,Eagle and horses,Lions,Eagle and lion,Two horses,C,history,medium,General Knowledge
Who composed Nigeria's first national anthem 'Nigeria We Hail Thee'?,Lillian Jean Williams,Frances Berda,Michael Olaitan,Afamefuna Nwachukwu,A,history,hard,General Knowledge
The Eastern Region of Nigeria declared independence as Biafra on which date?,"May 30, 1967","June 12, 1967","January 15, 1966","July 4, 1967",A,history,hard,General Knowledge
Nigeria's constitution allows a president to serve a maximum of how many terms?,Two,Three,One,Unlimited,A,politics,easy,General Knowledge
Who was Nigeria's first female minister?,Janet Mokelu,Ngozi Okonjo-Iweala,Diezani Alison-Madueke,Oby Ezekwesili,A,politics,hard,General Knowledge
Which state is known as the 'Home of Peace' in Nigeria?,Taraba,Kwara,Kebbi,Niger,A,politics,medium,General Knowledge
The Nigerian state of Gombe was created in which year?,1996,1991,1987,1999,A,politics,medium,General Knowledge
Lagos State was created from the Western Region in which year?,1967,1963,1960,1971,A,politics,medium,General Knowledge
How many local government areas (LGAs) does Nigeria have?,774,700,800,650,A,politics,easy,General Knowledge
Which state in Nigeria has the most LGAs?,Kano,Lagos,Rivers,Kaduna,A,politics,hard,General Knowledge
Plateau State's capital city is which of the following?,Jos,Makurdi,Lafia,Bauchi,A,politics,easy,General Knowledge
The South East geopolitical zone in Nigeria consists of how many states?,5,4,6,3,A,politics,medium,General Knowledge
Which Nigerian vice president served under both Obasanjo terms?,Atiku Abubakar,Peter Odili,Namadi Sambo,Goodluck Jonathan,A,politics,medium,General Knowledge
"Stephen Keshi, who coached Nigeria to AFCON 2013 victory, played for which famous club in Europe?",Anderlecht,Ajax,Roma,PSG,A,sports,hard,General Knowledge
Asisat Oshoala has won the African Women Player of the Year award how many times as of 2023?,6,4,5,3,A,sports,hard,General Knowledge
Which Nigerian city is home to football club Heartland FC?,Owerri,Enugu,Lagos,Benin City,A,sports,medium,General Knowledge
Nigeria's AFCON 2013 win was held in which country?,South Africa,Egypt,Ghana,Equatorial Guinea,A,sports,medium,General Knowledge
Odion Ighalo's international retirement was reversed to help Nigeria at which tournament?,2019 AFCON,2018 World Cup,2022 World Cup qualifiers,2021 AFCON,A,sports,hard,General Knowledge
Which Nigerian won the Ballon d'Or?,No Nigerian has won it,Nwankwo Kanu,Jay-Jay Okocha,Rashidi Yekini,A,sports,hard,General Knowledge
The sports complex built for the 2003 All Africa Games in Abuja is named after who?,MKO Abiola,Abuja National Stadium,Yakubu Gowon,Moshood Abiola,D,sports,hard,General Knowledge
"Sunday Oliseh, a former Nigeria captain, later became coach of which national team?",DR Congo,Nigeria,Ivory Coast,Togo,A,sports,hard,General Knowledge
